Job,  Company,  Location,  Salary,  Date
阿里云事业部-云业务架构师-广州区域,阿里巴巴集团,广州,,01-04
智能服务事业部-算法专家-数据智能,阿里巴巴集团,杭州,,01-04
智能服务事业部-算法专家-智能助理-北京,阿里巴巴集团,北京,,01-04
高德-NLP算法工程师/专家,阿里巴巴集团,北京,,01-04
UC事业部-服务端研发专家,阿里巴巴集团,北京,,01-04
人工智能实验室-SLAM算法专家-杭州,阿里巴巴集团,杭州,,01-04
阿里集团-数据分析专家-杭州,阿里巴巴集团,杭州,,01-04
Lazada-自然语言处理工程师-深圳,阿里巴巴集团,深圳,,01-04
网络研发事业部-网络运营专家,阿里巴巴集团,杭州,,01-04
阿里云事业群-云业务架构师-浙江,阿里巴巴集团,杭州,,01-04
阿里云事业群-云业务架构师-山东,阿里巴巴集团,济南,,01-04
阿里云事业部-云业务架构师-深圳,阿里巴巴集团,深圳,,01-04
服务器研发事业部-AI应用架构和性能专家,阿里巴巴集团,杭州,,01-04
服务器研发事业部-AI应用算法专家,阿里巴巴集团,杭州,,01-04
Software Engineer,新浪微博,北京,4-7万/月,01-04
00154-Java开发中高级工程师,新浪微博,北京,4-7万/月,01-04
00154-Java开发中高级工程师,新浪微博,北京,4-7万/月,01-04
00154-Java开发中高级工程师,新浪微博,北京,4-7万/月,01-04
PHP工程师（中高级）,新浪微博,北京,2-3.5万/月,01-04
00147-系统架构专家(北京/杭州),新浪微博,异地招聘,5-8万/月,01-04
测试开发工程师（Android IOS）,新浪微博,杭州-余杭区,2-3.5万/月,01-04
00155-图像研发中高级工程师,新浪微博,北京,4-7万/月,01-04
00156-GPU并行计算平台中高级开发工程师,新浪微博,北京,4-7万/月,01-04
00158-语音识别中高级算法工程师,新浪微博,北京,4-7万/月,01-04
00147-微博机器学习团队——系统架构专家,新浪微博,北京,5-8万/月,01-04
00146-微博机器学习团队——自然语言处理专家,新浪微博,北京,5-8万/月,01-04
00146-自然语言处理专家(北京/杭州),新浪微博,异地招聘,5-8万/月,01-04
04570-PHP高级开发工程师_新浪体育,新浪网技术（中国）有限公司,北京,2-3.5万/月,01-04
04309-平台监控研发工程师,新浪微博,北京,2.5-4万/月,01-04
测试开发工程师（web端）,新浪微博,杭州-余杭区,2-3.5万/月,01-04
全栈工程师,新浪微博,北京,2-3.5万/月,01-04
04598-自然语言处理高级工程师(北京/杭州),新浪微博,杭州-余杭区,3-5万/月,01-04
04598-自然语言处理高级工程师(北京/杭州),新浪微博,异地招聘,3-5万/月,01-04
04596-图像研发中高级工程师（北京/杭州）,新浪微博,杭州-余杭区,3-5万/月,01-04
04596-图像研发中高级工程师（北京/杭州）,新浪微博,异地招聘,3-5万/月,01-04
00156-GPU并行计算开发工程师-北京/杭州,新浪微博,异地招聘,4-7万/月,01-04
00158-语音识别中高级算法工程师-北京/杭州,新浪微博,异地招聘,4-7万/月,01-04
00158-语音识别中高级算法工程师-北京/杭州,新浪微博,异地招聘,4-7万/月,01-04
